2 Goodday 	20.00 11 5
3 monacco 	10.00 15 5
4 Kracjak 	15.00 19 5
5 ParleyG 	20.00 10 5
6 Jimyjam 	18.00 10 5
7 Cotton	10.00 20 2
8 kurkure 	20.00 20 5
9 Orange	15.00 0 3
10 Burger 	30.00 20 3
11 Diamond 	10.00 20 5
12 Nestley 	20.00 15 7
13 Cadbury 	10.00 15 7
14 Kitkat 	25.00 15 5
15 Galaxy 	30.00 15 5
16 Yardley	60.00 15 7
17 Redbull 	20.00 5 5
18 Hanger 	30.00 0 2
19 Thumbup 	30.00 5 5
20 Maazaa 	15.00 5 5
21 Sprite 	10.00 5 5
22 Candle 	18.00 7 5
23 Allout 	32.00 7 3
24 Powder 	99.00 7 7
25 Shampoo 	80.00 7 7
26 Harpic 	65.00 7 7
27 Shirts 	800.00 15 10
28 Sweater 	500.00 12 10
29 Sandle 	300.00 7 10
30 Lowers 	550.00 12 10
31 Jacket 	1500.00 5 10
32 Heater 	9999.00 5 12
33 Fridge 	30000.00 5 12
34 AirFan 	3000.00 10 12
35 Mirror 	200.00 30 7
36 Moblie	999.00 10 15	
37 Remote 	3000.00 7 10
38 Warmer 	1000.00 10 10
39 Chairs	995.00 8 15
40 Laptop	70000.00 10 10
1 Charger 	750.00 15 10

